web-scraper-order,web-scraper-start-url,shipcard-img-src
"1600213483-348","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/3/31/Halsey_PowellShipyardIcon.png/144px-Halsey_PowellShipyardIcon.png"
"1600213483-281","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/b/bc/MemphisShipyardIcon.png/144px-MemphisShipyardIcon.png"
"1600213483-286","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/7/7f/HazelwoodShipyardIcon.png/144px-HazelwoodShipyardIcon.png"
"1600213483-442","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/4/43/RangerKaiShipyardIcon.png/144px-RangerKaiShipyardIcon.png"
"1600213483-7","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/4/47/CravenShipyardIcon.png/144px-CravenShipyardIcon.png"
"1600213483-169","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/d/d3/NagatoShipyardIcon.png/144px-NagatoShipyardIcon.png"
"1600213483-100","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/0/02/DorsetshireShipyardIcon.png/144px-DorsetshireShipyardIcon.png"
"1600213483-414","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/8/87/IzumoShipyardIcon.png/144px-IzumoShipyardIcon.png"
"1600213483-167","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/f/f6/IseShipyardIcon.png/144px-IseShipyardIcon.png"
"1600213483-373","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/9/91/VauquelinShipyardIcon.png/144px-VauquelinShipyardIcon.png"
"1600213483-265","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/3/3f/U-557ShipyardIcon.png/144px-U-557ShipyardIcon.png"
"1600213483-450","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/1/13/FortuneKaiShipyardIcon.png/144px-FortuneKaiShipyardIcon.png"
"1600213483-207","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/8/82/Ping_HaiShipyardIcon.png/144px-Ping_HaiShipyardIcon.png"
"1600213483-87","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/0/01/SouthamptonShipyardIcon.png/144px-SouthamptonShipyardIcon.png"
"1600213483-283","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/a/a4/HobbyShipyardIcon.png/144px-HobbyShipyardIcon.png"
"1600213483-393","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/d/d7/33ShipyardIcon.png/144px-33ShipyardIcon.png"
"1600213483-482","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/f/f9/Z1KaiShipyardIcon.png/144px-Z1KaiShipyardIcon.png"
"1600213483-250","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/7/79/MontpelierShipyardIcon.png/144px-MontpelierShipyardIcon.png"
"1600213483-98","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/1/10/SuffolkShipyardIcon.png/144px-SuffolkShipyardIcon.png"
"1600213483-208","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/0/06/AvroraShipyardIcon.png/144px-AvroraShipyardIcon.png"
"1600213483-234","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/c/c5/JupiterShipyardIcon.png/144px-JupiterShipyardIcon.png"
"1600213483-175","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/0/0f/ShouhouShipyardIcon.png/144px-ShouhouShipyardIcon.png"
"1600213483-361","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/f/f8/RenoShipyardIcon.png/144px-RenoShipyardIcon.png"
"1600213483-190","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/8/88/K%C3%B6lnShipyardIcon.png/144px-K%C3%B6lnShipyardIcon.png"
"1600213483-291","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/7/7e/MakinamiShipyardIcon.png/144px-MakinamiShipyardIcon.png"
"1600213483-177","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/e/ee/AkagiShipyardIcon.png/144px-AkagiShipyardIcon.png"
"1600213483-12","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/6/67/ThatcherShipyardIcon.png/144px-ThatcherShipyardIcon.png"
"1600213483-258","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/0/01/SussexShipyardIcon.png/144px-SussexShipyardIcon.png"
"1600213483-495","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/2/23/SendaiKaiShipyardIcon.png/144px-SendaiKaiShipyardIcon.png"
"1600213483-470","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/8/89/KinuKaiShipyardIcon.png/144px-KinuKaiShipyardIcon.png"
"1600213483-129","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/5/57/ShiratsuyuShipyardIcon.png/144px-ShiratsuyuShipyardIcon.png"
"1600213483-287","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/4/4c/ConcordShipyardIcon.png/144px-ConcordShipyardIcon.png"
"1600213483-149","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/7/7e/MikumaShipyardIcon.png/144px-MikumaShipyardIcon.png"
"1600213483-44","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/1/16/OklahomaShipyardIcon.png/144px-OklahomaShipyardIcon.png"
"1600213483-236","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/3/38/SendaiShipyardIcon.png/144px-SendaiShipyardIcon.png"
"1600213483-276","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/7/7f/BushShipyardIcon.png/144px-BushShipyardIcon.png"
"1600213483-410","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/5/5e/Ookami_MioShipyardIcon.png/144px-Ookami_MioShipyardIcon.png"
"1600213483-293","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/2/27/CuracoaShipyardIcon.png/144px-CuracoaShipyardIcon.png"
"1600213483-75","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/b/be/FortuneShipyardIcon.png/144px-FortuneShipyardIcon.png"
"1600213483-367","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/1/1e/Little_RenownShipyardIcon.png/144px-Little_RenownShipyardIcon.png"
"1600213483-400","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/5/58/Kizuna_AIShipyardIcon.png/144px-Kizuna_AIShipyardIcon.png"
"1600213483-363","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/0/0a/CasablancaShipyardIcon.png/144px-CasablancaShipyardIcon.png"
"1600213483-378","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/7/72/PerseusShipyardIcon.png/144px-PerseusShipyardIcon.png"
"1600213483-114","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/5/55/UnicornShipyardIcon.png/144px-UnicornShipyardIcon.png"
"1600213483-79","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/e/ed/HunterShipyardIcon.png/144px-HunterShipyardIcon.png"
"1600213483-426","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/7/71/OdinShipyardIcon.png/144px-OdinShipyardIcon.png"
"1600213483-354","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/f/f0/Pamiat_MerkuriaShipyardIcon.png/144px-Pamiat_MerkuriaShipyardIcon.png"
"1600213483-396","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/2/25/RurutieShipyardIcon.png/144px-RurutieShipyardIcon.png"
"1600213483-416","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/f/ff/Saint_LouisShipyardIcon.png/144px-Saint_LouisShipyardIcon.png"
"1600213483-313","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/5/57/Li%27l_SandyShipyardIcon.png/144px-Li%27l_SandyShipyardIcon.png"
"1600213483-47","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/6/60/TennesseeShipyardIcon.png/144px-TennesseeShipyardIcon.png"
"1600213483-105","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/5/51/HoodShipyardIcon.png/144px-HoodShipyardIcon.png"
"1600213483-213","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/f/fc/Z46ShipyardIcon.png/144px-Z46ShipyardIcon.png"
"1600213483-106","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/1/1a/Queen_ElizabethShipyardIcon.png/144px-Queen_ElizabethShipyardIcon.png"
"1600213483-356","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/9/9f/GangutShipyardIcon.png/144px-GangutShipyardIcon.png"
"1600213483-478","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/b/bd/HyuugaKaiShipyardIcon.png/144px-HyuugaKaiShipyardIcon.png"
"1600213483-314","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/1/1c/SwiftsureShipyardIcon.png/144px-SwiftsureShipyardIcon.png"
"1600213483-216","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/0/05/MutsukiShipyardIcon.png/144px-MutsukiShipyardIcon.png"
"1600213483-300","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/1/1b/Z2ShipyardIcon.png/144px-Z2ShipyardIcon.png"
"1600213483-201","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/2/28/An_ShanShipyardIcon.png/144px-An_ShanShipyardIcon.png"
"1600213483-307","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/a/ac/U-556ShipyardIcon.png/144px-U-556ShipyardIcon.png"
"1600213483-48","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/5/5d/CaliforniaShipyardIcon.png/144px-CaliforniaShipyardIcon.png"
"1600213483-494","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/e/eb/NicholasKaiShipyardIcon.png/144px-NicholasKaiShipyardIcon.png"
